origin,year,outflow_to_europe,wb_gdp_pc_growth,wb_population,wb_remit_in_pct_gdp,wb_unemployment,outflow_rate_per_1000,L1_outflow_rate_per_1000,L1_wb_remit_in_pct_gdp,L1_wb_unemployment,L1_wb_gdp_pc_growth,L1_outflow_x_remit_in
TN,2010,7308.0,1.86835635362381,10765980.0,4.4654169829179,13.049,0.6788049021083078,0.6001494176757336,4.52066560776586,13.29,1.99812423215356,2.7130748320073974
TN,2011,7752.0,-3.1268978636142,10886035.0,4.16533721221503,18.334,0.7121050042554521,0.6788049021083078,4.4654169829179,13.049,1.86835635362381,3.0311469379623603
TN,2012,7487.0,3.04657312459409,11009647.0,4.78893888412121,17.63,0.6800399685839156,0.7121050042554521,4.16533721221503,18.334,-3.1268978636142,2.9661574732297766
TN,2013,5751.0,1.2189966874892,11141361.0,4.70471677441917,15.934,0.5161846923369595,0.6800399685839156,4.78893888412121,17.63,3.04657312459409,3.2566698483080794
TN,2014,9005.0,1.87486431059185,11274288.0,4.66786649981485,14.259,0.7987200610805756,0.5161846923369595,4.70471677441917,15.934,1.2189966874892,2.4285027807360917
TN,2015,9931.0,-0.165402101671091,11402264.0,4.3062419406206,15.159,0.8709673798115882,0.7987200610805756,4.66786649981485,14.259,1.87486431059185,3.7283186158480897
TN,2016,9562.0,0.0084982715857364,11528674.0,4.10560044761404,15.557,0.8294102166476388,0.8709673798115882,4.3062419406206,15.159,-0.165402101671091,3.750596259857093
TN,2017,9232.0,1.18340493178839,11650498.0,4.48331805727785,15.33,0.7924124788485436,0.8294102166476388,4.10560044761404,15.557,0.0084982715857364,3.4052269567242037
TN,2018,9313.0,1.60391587948506,11765514.0,3.97992085606504,15.459,0.7915506283873361,0.7924124788485436,4.48331805727785,15.33,1.18340493178839,3.552637175233978
TN,2019,10706.0,0.613127731689971,11875081.0,4.26980521845833,17.153,0.901551745204938,0.7915506283873361,3.97992085606504,15.459,1.60391587948506,3.1503088545501474
TN,2020,7205.0,-9.72752601384167,11974057.0,5.36706286105133,17.651,0.6017175298230165,0.901551745204938,4.26980521845833,17.153,0.613127731689971,3.8494503463862593
TN,2021,11603.0,4.08785924151975,12048622.0,6.30339440555567,16.632,0.9630146916385957,0.6017175298230165,5.36706286105133,17.651,-9.72752601384167,3.2294558071566577
TN,2022,18422.0,2.15276458662672,12119334.0,6.24650668661797,15.3,1.5200505242284765,0.9630146916385957,6.30339440555567,16.632,4.08785924151975,6.070261419742643
TN,2023,24744.0,-0.481913639518325,12200431.0,5.95811983250858,15.106,2.0281250719749164,1.5200505242284765,6.24650668661797,15.3,2.15276458662672,9.49500576359033
TN,2024,30889.0,0.979801739421518,12277109.0,6.34487013750789,15.341,2.5159832009310987,2.0281250719749164,5.95811983250858,15.106,-0.481913639518325,12.083812214141641
TO,1998,22.0,1.57220624694287,101388.0,,3.348,0.2169882037321971,,,,,
TO,1999,31.0,1.64280890829436,102046.0,,3.69,0.30378456774395857,0.2169882037321971,,3.348,1.57220624694287,
TO,2000,29.0,3.1164781634571,102677.0,,3.966,0.28243910515500065,0.30378456774395857,,3.69,1.64280890829436,
TO,2001,12.0,0.8921026437352,103288.0,29.1578543230523,4.368,0.11618000154906669,0.28243910515500065,,3.966,3.1164781634571,
TO,2002,25.0,3.84009133315611,103874.0,34.0341202990835,4.683,0.24067620386237173,0.11618000154906669,29.1578543230523,4.368,0.8921026437352,3.3875595604196773
TO,2003,11.0,-0.5132750153019,104464.0,28.9664744319715,5.18,0.10529943329759535,0.24067620386237173,34.0341202990835,4.683,3.84009133315611,8.191202875378703
TO,2004,10.0,-2.53428308034319,105071.0,28.371381391903,3.878,0.09517373966175253,0.10529943329759535,28.9664744319715,5.18,-0.5132750153019,3.050153342315884
TO,2005,12.0,-1.22171662108754,105671.0,26.3389358002772,2.542,0.11356001173453455,0.09517373966175253,28.371381391903,3.878,-2.53428308034319,2.7002104664372664
TO,2006,16.0,-2.70155026186355,106253.0,26.6921966200665,1.09,0.1505839835110538,0.11356001173453455,26.3389358002772,2.542,-1.22171662108754,2.991049858554631
TO,2007,10.0,-2.89657717629593,106726.0,27.402284709264,1.21,0.09369788055394188,0.1505839835110538,26.6921966200665,1.09,-2.70155026186355,4.0194172957099
TO,2008,21.0,4.57476736236848,107020.0,30.0437832481079,1.279,0.19622500467202392,0.09369788055394188,27.402284709264,1.21,-2.89657717629593,2.567535999593726
TO,2009,13.0,-5.29112664808726,107203.0,26.222026864383,1.419,0.12126526309898043,0.19622500467202392,30.0437832481079,1.279,4.57476736236848,5.895341508225247
TO,2010,10.0,0.639458308941471,107400.0,20.1778418075396,1.501,0.0931098696461825,0.12126526309898043,26.222026864383,1.419,-5.29112664808726,3.1798209866979374
TO,2011,12.0,6.53506653770044,107570.0,20.3642452840362,1.594,0.11155526633819839,0.0931098696461825,20.1778418075396,1.501,0.639458308941471,1.8787562204413035
TO,2012,10.0,1.02306619626815,107460.0,19.3683402749797,1.638,0.09305788200260562,0.11155526633819839,20.3642452840362,1.594,6.53506653770044,2.271738806437059
TO,2013,4.0,0.752077131516813,107078.0,27.1542792079469,1.75,0.03735594613272568,0.09305788200260562,19.3683402749797,1.638,1.02306619626815,1.8023767238953752
TO,2014,18.0,2.43921846288526,106609.0,27.0502703382977,1.914,0.16884127981690103,0.03735594613272568,27.1542792079469,1.75,0.752077131516813,1.0143737913650572
TO,2015,5.0,1.6036112932528,106095.0,29.5475611317982,2.022,0.04712757434374853,0.16884127981690103,27.0502703382977,1.914,2.43921846288526,4.56720226331134
TO,2016,21.0,7.1755196846192,105524.0,29.9964490576704,2.048,0.19900686099844586,0.04712757434374853,29.5475611317982,2.022,1.6036112932528,1.392504883915274
TO,2017,15.0,3.36688225938528,105356.0,34.4805616567803,2.137,0.1423744257564828,0.19900686099844586,29.9964490576704,2.048,7.1755196846192,5.9694991680667755
