country,period_str,quarter_end,country_period_ret,n_days,avg_n_tickers,min_n_tickers,max_n_tickers,country_period_ret_pct
BE,2024Q3,2024-09-30,0.08735145203998673,66.0,4.0,4.0,4.0,8.735145203998673
BE,2024Q4,2024-12-31,-0.1484619103186251,64.0,4.0,4.0,4.0,-14.84619103186251
BE,2025Q1,2025-03-31,0.08253138501345614,63.0,4.0,4.0,4.0,8.253138501345614
BE,2025Q2,2025-06-30,0.1548325716070591,62.0,4.0,4.0,4.0,15.48325716070591
BE,2025Q3,2025-09-30,-0.02697740284250405,66.0,4.0,4.0,4.0,-2.697740284250405
BE,2025Q4,2025-12-31,0.0437528936424354,64.0,4.0,4.0,4.0,4.37528936424354
BE,2026Q1,2026-03-31,0.04726024604319279,51.0,4.0,4.0,4.0,4.726024604319279
CH,2000Q1,2000-03-31,-0.146072158837253,63.0,1.3174603174603174,1.0,2.0,-14.6072158837253
CH,2000Q2,2000-06-30,-0.045835215046588274,65.0,2.0,2.0,2.0,-4.583521504658828
CH,2000Q3,2000-09-30,-0.049015816132165324,65.0,2.0,2.0,2.0,-4.901581613216532
CH,2000Q4,2000-12-31,0.019744990803570728,65.0,2.0,2.0,2.0,1.9744990803570728
CH,2001Q1,2001-03-31,-0.034691585460595475,65.0,2.0,2.0,2.0,-3.4691585460595475
CH,2001Q2,2001-06-30,0.018250723443278938,65.0,2.0,2.0,2.0,1.8250723443278938
CH,2001Q3,2001-09-30,-0.012207492110304585,65.0,2.292307692307692,2.0,3.0,-1.2207492110304585
CH,2001Q4,2001-12-31,-0.0008373115413592425,66.0,3.0,3.0,3.0,-0.08373115413592425
CH,2002Q1,2002-03-31,0.01174373591281741,64.0,3.0,3.0,3.0,1.174373591281741
CH,2002Q2,2002-06-30,0.009020616338750509,65.0,3.0,3.0,3.0,0.9020616338750509
CH,2002Q3,2002-09-30,-0.08788651416032689,66.0,3.0,3.0,3.0,-8.788651416032689
CH,2002Q4,2002-12-31,0.0325690236246865,66.0,3.0,3.0,3.0,3.25690236246865
CH,2003Q1,2003-03-31,0.005806486167508673,64.0,3.0,3.0,3.0,0.5806486167508673
CH,2003Q2,2003-06-30,0.06378518351575546,65.0,3.0,3.0,3.0,6.378518351575546
CH,2003Q3,2003-09-30,-0.033954454174951465,66.0,3.0,3.0,3.0,-3.3954454174951465
CH,2003Q4,2003-12-31,0.025693192510777507,66.0,3.0,3.0,3.0,2.5693192510777507
CH,2004Q1,2004-03-31,0.10087690777157787,65.0,3.0,3.0,3.0,10.087690777157787
CH,2004Q2,2004-06-30,0.482399887988455,65.0,3.0,3.0,3.0,48.2399887988455
CH,2004Q3,2004-09-30,0.0461770114616713,66.0,3.0,3.0,3.0,4.61770114616713
CH,2004Q4,2004-12-31,0.03148301444452306,66.0,3.0,3.0,3.0,3.148301444452306
CH,2005Q1,2005-03-31,0.01740818227887364,64.0,3.0,3.0,3.0,1.740818227887364
CH,2005Q2,2005-06-30,0.06321570157570577,65.0,3.0,3.0,3.0,6.321570157570577
CH,2005Q3,2005-09-30,0.07058908036535194,66.0,3.0,3.0,3.0,7.058908036535194
CH,2005Q4,2005-12-31,-0.03474894417296703,65.0,3.0,3.0,3.0,-3.4748944172967033
CH,2006Q1,2006-03-31,0.13113420619505334,65.0,3.0,3.0,3.0,13.113420619505334
CH,2006Q2,2006-06-30,-0.03320246861686771,65.0,3.0,3.0,3.0,-3.320246861686771
CH,2006Q3,2006-09-30,0.02167765032741964,65.0,3.0,3.0,3.0,2.167765032741964
CH,2006Q4,2006-12-31,0.0933367476789897,63.0,3.0,3.0,3.0,9.33367476789897
CH,2007Q1,2007-03-31,0.07384930118428223,63.0,3.0,3.0,3.0,7.3849301184282234
